network,city,region,region_code,country,country_code,continent,continent_code,latitude,longitude,timezone,postal_code,dma_code,geoname_id,radius,asn,as_name,as_domain,as_type,carrier_name,mcc,mnc,as_changed,geo_changed,is_anonymous,is_anycast,is_hosting,is_mobile,is_satellite,is_proxy,is_relay,is_tor,is_vpn,privacy_name
1.0.0.0/31,Sydney,New South Wales,NSW,Australia,AU,Oceania,OC,-33.86785,151.20732,Australia/Sydney,1001,,2147714,5000,AS13335,"Cloudflare, Inc.",cloudflare.com,hosting,,,,2021-05-01,2026-02-08,false,true,true,false,false,false,false,false,false,
1.0.0.2,Sydney,New South Wales,NSW,Australia,AU,Oceania,OC,-33.86785,151.20732,Australia/Sydney,1001,,2147714,5000,AS13335,"Cloudflare, Inc.",cloudflare.com,hosting,,,,2021-05-01,2026-02-08,true,true,true,false,false,false,false,false,true,
1.0.0.3,Sydney,New South Wales,NSW,Australia,AU,Oceania,OC,-33.86785,151.20732,Australia/Sydney,1001,,2147714,5000,AS13335,"Cloudflare, Inc.",cloudflare.com,hosting,,,,2021-05-01,2026-02-08,false,true,true,false,false,false,false,false,false,
1.0.0.4/30,Sydney,New South Wales,NSW,Australia,AU,Oceania,OC,-33.86785,151.20732,Australia/Sydney,1001,,2147714,5000,AS13335,"Cloudflare, Inc.",cloudflare.com,hosting,,,,2021-05-01,2026-02-08,false,true,true,false,false,false,false,false,false,
1.0.0.8/29,Sydney,New South Wales,NSW,Australia,AU,Oceania,OC,-33.86785,151.20732,Australia/Sydney,1001,,2147714,5000,AS13335,"Cloudflare, Inc.",cloudflare.com,hosting,,,,2021-05-01,2026-02-08,false,true,true,false,false,false,false,false,false,
1.0.0.16/28,Sydney,New South Wales,NSW,Australia,AU,Oceania,OC,-33.86785,151.20732,Australia/Sydney,1001,,2147714,5000,AS13335,"Cloudflare, Inc.",cloudflare.com,hosting,,,,2021-05-01,2026-02-08,false,true,true,false,false,false,false,false,false,
1.0.0.32/27,Sydney,New South Wales,NSW,Australia,AU,Oceania,OC,-33.86785,151.20732,Australia/Sydney,1001,,2147714,5000,AS13335,"Cloudflare, Inc.",cloudflare.com,hosting,,,,2021-05-01,2026-02-08,false,true,true,false,false,false,false,false,false,
1.0.0.64/28,Sydney,New South Wales,NSW,Australia,AU,Oceania,OC,-33.86785,151.20732,Australia/Sydney,1001,,2147714,5000,AS13335,"Cloudflare, Inc.",cloudflare.com,hosting,,,,2021-05-01,2026-02-08,false,true,true,false,false,false,false,false,false,
1.0.0.80/30,Sydney,New South Wales,NSW,Australia,AU,Oceania,OC,-33.86785,151.20732,Australia/Sydney,1001,,2147714,5000,AS13335,"Cloudflare, Inc.",cloudflare.com,hosting,,,,2021-05-01,2026-02-08,false,true,true,false,false,false,false,false,false,
1.0.0.84,Sydney,New South Wales,NSW,Australia,AU,Oceania,OC,-33.86785,151.20732,Australia/Sydney,1001,,2147714,5000,AS13335,"Cloudflare, Inc.",cloudflare.com,hosting,,,,2021-05-01,2026-02-08,true,true,true,false,false,true,false,false,false,
1.0.0.85,Sydney,New South Wales,NSW,Australia,AU,Oceania,OC,-33.86785,151.20732,Australia/Sydney,1001,,2147714,5000,AS13335,"Cloudflare, Inc.",cloudflare.com,hosting,,,,2021-05-01,2026-02-08,false,true,true,false,false,false,false,false,false,
1.0.0.86/31,Sydney,New South Wales,NSW,Australia,AU,Oceania,OC,-33.86785,151.20732,Australia/Sydney,1001,,2147714,5000,AS13335,"Cloudflare, Inc.",cloudflare.com,hosting,,,,2021-05-01,2026-02-08,false,true,true,false,false,false,false,false,false,
