network,asn,shared,devices_daily,devices_weekly,devices_monthly
103.29.50.220/32,AS10000,daily,10,10,10
103.29.48.49/32,AS10000,daily,10,10,10
103.29.51.123/32,AS10000,daily,10,10,10
103.29.48.238/32,AS10000,daily,10,10,10
103.29.50.20/32,AS10000,daily,10,10,10
103.29.49.15/32,AS10000,daily,10,10,10
103.29.50.108/32,AS10000,daily,10,10,10
103.29.50.23/32,AS10000,daily,10,10,10
103.29.48.22/31,AS10000,daily,10,10,100
103.29.48.158/32,AS10000,daily,10,10,10
103.29.50.114/32,AS10000,daily,10,10,10
103.29.50.170/31,AS10000,daily,10,10,10
103.29.51.147/32,AS10000,monthly,1,1,10
103.29.50.181/32,AS10000,monthly,1,1,10
103.29.50.96/31,AS10000,monthly,1,1,10
103.29.48.103/32,AS10000,monthly,1,1,10
103.29.50.154/32,AS10000,monthly,1,1,10
103.29.50.196/32,AS10000,monthly,1,1,10
103.29.50.138/32,AS10000,weekly,1,10,10
103.29.50.71/32,AS10000,weekly,1,10,10
103.29.50.35/32,AS10000,weekly,1,10,10
103.29.48.133/32,AS10000,weekly,1,10,10
103.81.75.136/31,AS10003,daily,10,10,10
103.81.72.163/32,AS10003,monthly,1,1,10
103.81.75.188/32,AS10003,monthly,1,1,10
103.81.72.89/32,AS10003,monthly,1,1,10
103.81.72.86/32,AS10003,monthly,1,1,10
103.81.72.150/32,AS10003,monthly,1,1,10
103.81.72.60/31,AS10003,monthly,1,1,10
103.81.73.57/32,AS10003,monthly,1,1,10
103.81.74.6/32,AS10003,monthly,1,1,10
103.81.72.115/32,AS10003,monthly,1,1,10
103.81.74.110/32,AS10003,weekly,1,10,10
103.226.44.0/24,AS10004,daily,10,10,100
103.13.60.198/32,AS10011,daily,10,10,10
103.13.63.96/32,AS10011,daily,10,10,10
103.13.63.122/31,AS10011,monthly,1,1,10
103.13.63.82/32,AS10011,monthly,1,1,10
103.13.60.95/32,AS10011,monthly,1,1,10
103.13.63.59/32,AS10011,weekly,1,10,10
103.26.152.230/32,AS10019,daily,10,10,10
103.26.153.122/32,AS10019,daily,10,100,100
103.26.155.8/31,AS10019,daily,10,10,10
103.26.154.240/28,AS10019,daily,10,10,100
103.26.155.37/32,AS10019,daily,10,10,10
103.26.155.82/32,AS10019,daily,10,10,10
103.26.154.150/32,AS10019,daily,10,10,10
103.26.152.175/32,AS10019,daily,10,10,10
103.26.155.204/32,AS10019,daily,10,10,10
103.26.154.93/32,AS10019,daily,10,10,10
103.26.155.112/31,AS10019,daily,10,10,10
103.26.154.21/32,AS10019,daily,10,10,10
103.26.153.146/32,AS10019,daily,10,10,10
103.26.153.142/31,AS10019,daily,10,10,10
103.26.153.144/32,AS10019,daily,10,10,10
103.26.155.102/32,AS10019,daily,10,10,10
103.26.153.247/32,AS10019,daily,10,10,10
103.26.152.49/32,AS10019,daily,10,10,10
103.26.152.91/32,AS10019,daily,10,10,100
103.26.153.78/31,AS10019,daily,10,10,10
103.26.154.234/32,AS10019,monthly,1,1,10
103.26.155.53/32,AS10019,monthly,1,1,10
103.26.153.40/32,AS10019,monthly,1,1,10
103.26.152.224/32,AS10019,monthly,1,1,10
103.26.153.21/32,AS10019,monthly,1,1,10
103.26.152.166/31,AS10019,monthly,1,1,10
103.26.155.122/31,AS10019,monthly,1,1,10
103.26.155.87/32,AS10019,monthly,1,1,10
103.26.152.161/32,AS10019,monthly,1,1,10
103.26.155.249/32,AS10019,monthly,1,1,10
103.26.155.141/32,AS10019,monthly,1,1,10
103.26.152.241/32,AS10019,monthly,1,1,10
103.26.152.223/32,AS10019,monthly,1,1,10
103.26.154.98/32,AS10019,monthly,1,1,10
103.26.152.103/32,AS10019,monthly,1,1,10
103.26.155.216/31,AS10019,weekly,1,10,10
103.26.154.136/31,AS10019,weekly,1,10,10
103.26.152.186/31,AS10019,weekly,1,10,10
103.26.155.31/32,AS10019,weekly,1,10,10
103.26.155.46/32,AS10019,weekly,1,10,10
103.26.154.132/31,AS10019,weekly,1,10,10
103.26.152.35/32,AS10019,weekly,1,10,10
103.26.153.84/31,AS10019,weekly,1,10,10
103.26.152.220/31,AS10019,weekly,1,10,10
103.26.155.233/32,AS10019,weekly,1,10,10
103.26.152.206/31,AS10019,weekly,1,10,10
103.26.152.154/31,AS10019,weekly,1,10,10
103.26.154.71/32,AS10019,weekly,1,10,10
103.26.152.24/32,AS10019,weekly,1,10,10
103.26.154.25/32,AS10019,weekly,1,10,10
103.26.152.247/32,AS10019,weekly,1,10,10
103.26.152.239/32,AS10019,weekly,1,10,10
103.26.152.181/32,AS10019,weekly,1,10,10
103.26.152.14/32,AS10019,weekly,1,10,10
103.26.153.42/31,AS10019,weekly,1,10,10
103.26.155.115/32,AS10019,weekly,1,10,10
103.26.155.78/31,AS10019,weekly,1,10,10
103.26.155.174/32,AS10019,weekly,1,10,10
103.26.152.68/32,AS10019,weekly,1,10,10
103.26.152.22/31,AS10019,weekly,1,10,10
