ip,bssid,ssid,category,name,brand,city,region,country_code,latitude,longitude
1.0.75.3,"60:63:4c:31:db:33,e0:9d:b8:3f:a2:de",RANDOR-WiFi704_5g,hotel,Randor Hotel Hiroshima Prestage,,Hiroshima,Hiroshima,JP,34.3937,132.4766
1.0.75.12,60:63:4c:31:dd:9f,RANDOR-WiFi203,hotel,Randor Hotel Hiroshima Prestage,,Hiroshima,Hiroshima,JP,34.3937,132.4766
1.0.136.23,"40:ee:15:c4:8d:5c,74:da:38:ca:bd:85,c8:5a:9f:a2:85:dd",BKR002_2.4G,hotel,Ban Krut Resort,บ้านกรูดรีสอร์ท,Thap Sakae,Prachuap Khiri Khan,TH,11.3582,99.5719
1.0.136.82,"d4:b7:09:fa:d1:2b,00:ad:24:5a:f1:0c,14:4d:67:33:e3:ac,14:4d:67:a0:dc:ac",narong,university,"Silpakorn University, Sanam Chandra Palace Campus",MATSE,Nakhon Pathom,Nakhon Pathom,TH,13.819,100.04
1.0.136.84,"9c:14:63:e4:81:4f,64:d1:54:1f:3a:a2",BKBF,hotel,Ban Good Beach Front Hotel,,Bang Saphan,Prachuap Khiri Khan,TH,11.3341,99.558
1.0.136.93,58:d3:12:56:f1:45,R0000  5G,bank,Krung Thai Bank,ธนาคารกรุงไทย,Sangkhla Buri,Kanchanaburi,TH,15.155,98.4506
1.0.140.55,"14:4d:67:a1:45:bc,30:16:9d:75:3b:82",Rimnan4,hotel,Ruean Rim Nan เรือนริมน่าน,,Taphan Hin,Phichit,TH,16.225,100.4188
1.0.141.14,"b4:fb:e4:35:7c:36,34:36:54:81:37:16",API Property fl1,real_estate,API Property Pattaya,API PROPERTY PATTAYA,Pattaya,Chon Buri,TH,12.8827,100.8863
1.0.141.36,"48:81:d4:4e:b9:10,b4:fb:e4:35:7b:1a,48:81:d4:4e:bc:5d,4a:81:d4:8e:94:36",Sunshine Vista,hotel,Sunshine Vista,Sunshine Vista Hotel,Pattaya,Chon Buri,TH,12.9452,100.8876
1.0.141.43,"08:f6:06:85:e0:70,14:4d:67:27:1e:c4",Chaletcustomer 2.4GHz,hotel,Chalet Guesthouse,,Pattaya,Chon Buri,TH,12.9368,100.8845
